microtime,millitime,numrecords,cptr
40,0,0,0x70000000
80,0,1,0x70000010
120,0,2,0x70000020
160,0,3,0x70000030
200,0,4,0x70000040
240,0,5,0x70000050
280,0,6,0x70000060
320,0,7,0x70000070
360,0,8,0x70000080
400,0,9,0x70000090
440,0,10,0x700000A0
480,1,11,0x700000B0
520,1,12,0x700000C0
560,1,13,0x700000D0
600,1,14,0x700000E0
640,1,15,0x700000F0
680,1,16,0x70000100
720,1,17,0x70000110
760,1,18,0x70000120
800,1,19,0x70000130
840,1,20,0x70000140
880,1,21,0x70000150
920,1,22,0x70000160
960,1,23,0x70000170
1000,1,24,0x70000180
1040,1,25,0x70000190
1080,1,26,0x700001A0
1120,1,27,0x700001B0
1160,1,28,0x700001C0
1200,1,29,0x700001D0
1240,1,30,0x700001E0
1280,1,31,0x700001F0
1320,1,32,0x70000200
1360,1,33,0x70000210
1400,1,34,0x70000220
1440,1,35,0x70000230
1480,2,36,0x70000240
1520,2,37,0x70000250
1560,2,38,0x70000260
1600,2,39,0x70000270
1640,2,40,0x70000280
1680,2,41,0x70000290
1720,2,42,0x700002A0
1760,2,43,0x700002B0
1800,2,44,0x700002C0
1840,2,45,0x700002D0
1880,2,46,0x700002E0
1920,2,47,0x700002F0
1960,2,48,0x70000300
2000,2,49,0x70000310
2040,2,50,0x70000320
2080,2,51,0x70000330
2120,2,52,0x70000340
2160,2,53,0x70000350
2200,2,54,0x70000360
2240,2,55,0x70000370
2280,2,56,0x70000380
2320,2,57,0x70000390
2360,2,58,0x700003A0
2400,2,59,0x700003B0
2440,2,60,0x700003C0
2480,3,61,0x700003D0
2520,3,62,0x700003E0
2560,3,63,0x700003F0
2600,3,64,0x70000400
2640,3,65,0x70000410
2680,3,66,0x70000420
2720,3,67,0x70000430
2760,3,68,0x70000440
2800,3,69,0x70000450
2840,3,70,0x70000460
2880,3,71,0x70000470
2920,3,72,0x70000480
2960,3,73,0x70000490
3000,3,74,0x700004A0
3040,3,75,0x700004B0
3080,3,76,0x700004C0
3120,3,77,0x700004D0
3160,3,78,0x700004E0
3200,3,79,0x700004F0
3240,3,80,0x70000500
3280,3,81,0x70000510
3320,3,82,0x70000520
3360,3,83,0x70000530
3400,3,84,0x70000540
3440,3,85,0x70000550
3480,4,86,0x70000560
3520,4,87,0x70000570
3560,4,88,0x70000580
3600,4,89,0x70000590
3640,4,90,0x700005A0
3680,4,91,0x700005B0
3720,4,92,0x700005C0
3760,4,93,0x700005D0
3800,4,94,0x700005E0
3840,4,95,0x700005F0
3880,4,96,0x70000600
3920,4,97,0x70000610
3960,4,98,0x70000620
4000,4,99,0x70000630
4040,4,100,0x70000640
4080,4,101,0x70000650
4120,4,102,0x70000660
4160,4,103,0x70000670
4200,4,104,0x70000680
4240,4,105,0x70000690
